,word,meaning_jp,meaning_cn,example_jp,example_cn
35,たまねぎ,1. 玉ねぎ,1. 洋葱,A: 今晩のサラダにたまねぎを入れようか。B: 私は嫌いだから、別の野菜を入れてほしい。,A:今晚沙拉里要放洋葱吗？B: 我不喜欢，希望放其他蔬菜。
36,たまねぎ,2. 陰茎,2. 阴茎,A: 男の人の体にはたまねぎがあるんだって。B: えっ、そんなこと知らなかった。,A: 男性的身体里有阴茎。B: 哎呀，我不知道这种事。
37,だれか,1. 誰か,1.谁,A: だれか知ってる人に聞いてみよう。B: そうだね、何かヒントがあるかも。,A: 找认识的人问问看吧。B: 对啊，可能有什么提示。
38,だれか,2. 誰でもいいから,2. 无论谁，只要是人,A: 映画に誰か一緒に行かない？B: 私が行くよ。,A: 一起去看电影吗？B: 我去吧。
39,ちゃん,1. 女の子、あるいは若い女性を呼ぶときにつける愛称,1. 用于称呼女孩或年轻女性的爱称,A: この子は誰？B: あ、あれは私の妹のかおりちゃんです。,A: 这个孩子是谁？B: 那是我妹妹的香织。
40,ちゃん,2. 名前の最後につけて、愛着や親しみを込めて呼ぶ語尾,2. 在名字后面加上，带有亲密感和亲切感的词尾,A: あの人は誰ですか？B: 山田さんちのお父さん、大吉ちゃんです。,A: 那个人是谁？B: 山田家的爸爸，大吉。
41,ちょっと,1. 少し、わずかに,1. 一点儿、稍微,A: ちょっと待っててね。B: うん、急がなくてもいいよ。,A: 稍等一下。B: 嗯，没关系，不用着急。
42,ちょっと,1. 少し、わずかに,1. 一点儿、稍微,A: ちょっと手伝ってくれる？B: あ、いいよ。何をすればいい？,A: 能帮忙一下吗？B: 啊，没问题。要做什么？
43,ちょっと,2. ちょっとした、些細な,2. 一点儿的、细微的,A: このレストラン、ちょっと高いけど、とても美味しいよ。B: へえ、試してみたいな。,A: 这家餐厅有点儿贵，但是很好吃哦。B: 哦，想尝尝呢。
44,ちょっと,2. ちょっとした、些細な,2. 一点儿的、细微的,A: この仕事、ちょっとしたミスで大変なことになるから、気をつけてね。B: わかった、気をつけるよ。,A: 这项工作稍有疏忽就会变成大问题，所以要小心哦。B: 好的，我会小心的。
45,とうもろこし,1.トウモロコシ科の一年草で、食用にされる穀物の一種。,1.玉米，一种可食用的一年生草本植物。,A: 夕食に何が食べたい？B: トウモロコシが食べたいな。A: 分かった、メキシカン料理を作ろう。,A: 晚餐想吃点什么？B: 我想吃玉米。A: 好的，我们做墨西哥菜吧。
46,とうもろこし,2.トウモロコシ科の植物を乾燥させたもので、馬の飼料にもなる。,2.玉米秸秆，一种可以用于马的饲料的干燥玉米植物。,A: この辺りに馬小屋があるんだけど、何を食べてるのかな？B: 多分トウモロコシの葉っぱや秸穀だよ。,A: 这附近有一个马厩，它们在吃什么呢？B: 可能是吃玉米叶子或者秸秆。
47,とても,非常に、とても、大変,非常，非常地，非常困难,A: このステーキはとても美味しいね。B: そうだね、ここのお店のステーキはいつも美味しいよ。,A: 这个牛排非常好吃。B: 是的，这家店的牛排总是很好吃。
48,どう,1. どのように、どうして,1.怎么，为什么,A: どうしたの？元気がないみたいだね。B: いや、なんでもないよ。,A: 怎么了？看起来不太舒服啊。B: 没事，没事。
49,どう,2. どちら、どっち,2.哪一个，哪边,A: どっちの席がいい？B: えっと、窓際の方がいいかな。,A: 哪个位置比较好？B: 嗯，靠窗户的位置比较好。
50,どう,3. どの程度,3.到什么程度,A: 今の日本語の理解度はどう？B: まだまだだけど、少しずつ理解できるようになってきた。,A: 现在的日语理解到什么程度了？B: 还差得远，但是慢慢地能够理解了。
51,どうぞ,1. 許すように言うときの丁寧な言葉,1.礼貌地表示允许或让对方做某事的用语,A: すみません、これを持っていってもいいですか？B: はい、どうぞ。,A: 对不起，可以拿走这个吗？B: 好的，请拿。
52,どうぞ,2. 食事の時に他人に料理を勧める時に使う丁寧な言葉,2.在用餐时向他人推荐食物时使用的礼貌用语,A: このお寿司はとてもおいしいですよ。B: そうですか？じゃあ、どうぞ。,A: 这个寿司很好吃。B: 是吗？那就请您吃吧。
53,どうぞ,3. 手渡す際に使う丁寧な言葉,3.在递交物品时使用的礼貌用语,A: これ、お渡しします。B: ありがとうございます、どうぞ。,A: 这个，给您。B: 谢谢，您拿着吧。
54,どうも,1. 何となく、どうしようもない感じ,1. 不知道为什么，有点无可奈何的感觉,A: どうも、風邪をひいたみたい。B: そうなの？大丈夫？,A: 不知道为什么，好像感冒了。B: 是吗？没事吧？
55,どうも,2. 感謝の気持ちや軽い謝罪の言葉,2. 表达感激或轻微道歉的话语,A: どうも、ありがとう。B: いいよ。A: どうも、すみません。B: いいってば。,A: 谢谢。B: 没事。A: 不好意思。B: 没关系。
56,どこ,1. 場所を尋ねる疑問詞,1.询问地点的疑问代词,A: あの人はどこにいるの？B: もしかしたら、トイレに行ったかもしれないよ。,A: 那个人在哪里？B: 可能去了洗手间。
57,どこ,2. どこか、どこにでもあるようなさま,2. 随处可见、普遍存在的样子,A: バラエティ番組を見ていたら、どこにでもいるような芸人が出ていたよ。B: ああ、あの人ね。,A: 看综艺节目的时候，出现了个到处都有的艺人。B: 哦，那个人啊。
58,どこか,1. ある場所の不確かな指示。,1. 某个地方的不确定指示。,A: あの本、どこかに置いたかな？B: ソファの上にあるよ。,A: 那本书放哪里了呢？B: 放在沙发上了。
59,どこか,2. どこかに行く、旅行する。,2. 去某处旅行。,A: 明日はどこか行く予定はある？B: いや、特にないな。,A: 明天有去哪里的计划吗？B: 没有，没有特别的计划。
60,どちら,1. どちらかというと,1.比较而言,A: この服とあの服、どちらが好き？B: どちらかと言えば、この服が好きかな。,A: 这件衣服和那件衣服，哪件更好看？B: 比较而言，我可能更喜欢这件衣服。
61,どちら,2. どちらかと言えば,2.比较而言,A: 食べ物はどう？B: どちらかと言えば、まずいかな。,A: 食物怎么样？B: 比较而言，有点难吃。
62,どちら,3. どちら様,3.您,A: ご注文は？B: ピザとコーラを一つずつお願いします。A: 了解です。どちら様ですか？B: 山田と申します。,A: 您要点什么？B: 请给我一份比萨和一瓶可乐。A: 好的，请问您是哪位？B: 我是山田先生。
63,どなた,1. 誰、どなた様,1. 谁、哪位,A: どなたですか？B: 私は田中です。,A: 请问是哪位？B: 我是田中。
64,どの,1. どの～、どのような～,1. 哪个，哪种,A: どの本を買うつもり？B: あの本を買うつもり。,A: 要买哪本书？B: 要买那本。
65,どの,2. ～のどの～、～のどのような～,2. ～的哪个，～的哪种,A: この中で、どの車が好き？B: 赤い車のどの車がいいと思う。,A: 在这里，哪辆车是你喜欢的？B: 我认为红色车的哪辆车好。
66,どのくらい,1. 程度、量がどれくらいか,1. 多少程度，数量,A: この料理、辛い？B: ええ、ちょっと辛いけど、どのくらい辛いかはわからないなあ。,A: 这道菜辣吗？B: 是的，有点辣，但我不知道有多辣。
67,どのくらい,2. ある状態や期間の長さを尋ねる,2. 询问某种状态或时间的长短,A: あの人と一緒にいたの、どのくらいの時間？B: たぶん1時間ぐらいかな。,A: 你和那个人在一起多久了？B: 大概一个小时左右吧。
68,どれ,1. 何の中から選ぶか決める,1. 从中选择什么,A: この中からどれが欲しい？B: あの本が欲しいです。,A: 从这里选哪个？B: 我想要那本书。
69,どれ,2. 3つ以上の物事を指し示す,2. 指示三个或以上的物品,A: この3つの中から、どれが好きですか？B: ええと、この本がいいです。,A: 从这三个里面，你喜欢哪个？B: 嗯，我喜欢这本书。
70,どんな,1. どのような,1.什么样的,A: どんな本が好きですか？B: ミステリー小説が好きです。,A: 你喜欢什么样的书？B: 我喜欢推理小说。
71,どんな,2. どれほど,2.多少,A: このバッグはどんなに重いですか？B: 2キロぐらいです。,A: 这个包有多重？B: 大概2公斤左右。
72,どんな,どのような、何の、どんな種類の,什么样的，哪种，什么,A: あの人はどんな人ですか？B: 温和で親切な人ですよ。,A: 那个人是什么样的人？B: 他是一个温和且友善的人。
73,どんな,どのような、何の、どんな種類の,什么样的，哪种，什么,A: どんな音楽が好きですか？B: ジャズが好きです。,A: 你喜欢什么样的音乐？B: 我喜欢爵士乐。
74,ない,1. 存在しない、ない,1.不存在的、没有的,A: お菓子がないんだけど、買ってくる？B: ええ、今すぐ買ってくるよ。,A: 没有点心了，去买一些吗？B: 好的，我现在就去买。
75,ない,2. ～ない形で、～しないで,2.用否定形式表示不做某事,A: 明日のパーティー、何を着て行くの？B: ネクタイとかジャケットとか、着ないで行くつもり。,A: 明天的聚会你要穿什么？B: 我打算不穿领带和外套去。
76,なぜ,1. 理由を問いかける、何故か,1.询问原因，为什么,A: なぜ遅刻したの？B: 電車が遅れたので。,A: 为什么迟到了？B: 因为电车晚点了。
77,なぜ,2. なんとなく理由をつける、無責任に理由をつける,2.胡乱找理由，随口编造理由,A: なぜそんなことをしたの？B: なんとなくね。,A: 你为什么做那种事？B: 随口编了个理由。
78,にぎやか,1. 騒がしい、活気がある,1. 热闹、有活力,A: 今晩はどこかに行こうよ。B: にぎやかな居酒屋がいいな。A: 喜んで。B: いいね、ここに座ろう。,A: 今晚我们去哪儿吧。B: 去热闹的居酒屋吧。A: 好啊。B: 好的，我们坐这里吧。
79,にぎやか,2. 活発な、賑やかな,2. 活跃的、热烈的,A: 子供たちは学校でにぎやかに過ごしているようだ。B: 良かったね。A: うん、クラスの仲間と楽しく過ごしているようだ。,A: 孩子们在学校里过得很活跃。B: 那太好了。A: 嗯，似乎和班级的同学们一起玩得很开心。
80,にんじん,1. 人参,1.胡萝卜,A: 今日のランチにサラダ作ろうよ。B: いいね、にんじんとレタスとトマトとドレッシングで作ろう。,A: 今天的午餐我们来做沙拉吧。B: 好呀，用胡萝卜、生菜、西红柿和沙拉酱做。
81,にんじん,2. ニンジン（英語: キャロット）、赤色の車体に使用されるカラー名,2. 胡萝卜色（英语：Carrot），用于红色车身的颜色名称,A: もし新しい車を買うとしたら、何色がいい？B: 私はにんじん色が好きだな。,A: 如果买一辆新车的话，你喜欢什么颜色？B: 我喜欢胡萝卜色呢。
82,はい,1. 賛成の返事、同意を表す,1. 表示同意、赞成的回答,A: 明日、映画を見に行こうよ。B: はい、いいね。,A: 明天去看电影吧。B: 好啊，好主意。
83,はい,2. おっしゃる通り、正解であることを示す,2. 表示对方说得对，是正确的答案,A: これはどういう意味ですか？B: はい、それは正解です。,A: 这是什么意思？B: 对，那是正确答案。
84,はい,3. 承認を表す,3. 表示承认,A: あなたが先生ですか？B: はい、そうです。,A: 你是老师吗？B: 是的，我是。
85,ばつ,1. 失格、不合格,1. 失格、不合格,A: 昨日の試験、何点だった？B: ばつだったよ。,A: 昨天的考试得了多少分？B: 不及格。
86,ばつ,2. 一、一本の竹を縦に二つに割ること,2. 竹子一分为二的技艺,A: この茶筅、上手にばつを入れることができるようになりたい。B: そうだね、特別な技術が必要だよ。,A: 我想要学会在这个茶筅上娴熟地进行分竹技艺。B: 是的，这需要特别的技术。
87,ばつ,3. 神社などで、手を合わせて頭を下げること,3. 在神社等地合掌鞠躬,A: 明日は神社でばつをしてこようよ。B: いいね、そのために服装もちゃんと準備しよう。,A: 明天我们去神社参拜吧。B: 好呀，那我们要准备好穿着。
88,スケート,1. スケート靴を履いて氷の上を滑ること。,1.穿着溜冰鞋在冰上滑行。,A: 昨日、スケートに行ったんだ。B: いいな、私も行きたかった。,A: 昨天我去溜冰了。B: 真好啊，我也想去。
89,スケート,2. ローラースケート、インラインスケートなどのスポーツ用具を使って、地面を滑ること。,2.使用轮滑、内置轮滑等运动器材在地面上滑行。,A: 子どもの頃、よく公園でスケートしたよね。B: うん、ローラースケートが流行ってたからね。,A: 小时候我们经常在公园里滑冰吧。B: 对啊，因为那时候流行轮滑。
90,ステーキ,1. 牛排,1. 牛排,A: 今晩は何を食べたい？B: ステーキがいいな。A: 分かった、じゃあステーキ屋に行こう。,A: 今晚想吃什么？B: 我想吃牛排。A: 好的，那我们去牛排店吧。
91,ステーキ,2. ひじき,2. 海带,A: 昨日、夕食に何を作ったの？B: ステーキとひじきの煮物。A: ひじきの煮物って、おいしいよね。,A: 昨天晚饭做了什么？B: 牛排和海带煮。A: 海带煮很好吃啊。
92,ストーブ,1. 暖炉、暖房器具,1.火炉、取暖器具,A: 寒いね、ストーブつけようか。B: いいね、そろそろ暖かくなってきた。,A: 冷啊，要不要开个暖炉啊？B: 好啊，天气终于变暖了。
93,ストーブ,2. 高速回転する機械の回転軸を支える部品,2.支撑高速旋转机械转轴的零件,A: 工場でストーブの製造をしているんだ。B: ストーブって何の部品？,A: 工厂正在制造火炉。B: 火炉是什么零件？
94,スパゲッティ,1. スパゲッティパスタ,1. 意大利面,A: 今日は何が食べたい？B: スパゲッティがいいな、具材は何がある？,A: 今天想吃什么？B: 吃意大利面吧，有哪些配料呢？
95,スパゲッティ,2. 長くて細い形をしたもの,2. 长而细的形状,A: このかわいいカーテンはどこで買ったの？B: これは、色んな色があるスパゲッティみたいな糸で作った手作りカーテンなの。,A: 这个可爱的窗帘是在哪里买的？B: 这是用像意大利面一样的各种颜色线编织的手工窗帘。
96,スプーン,1. 食べ物をすくうための道具。口の部分が広く、手元が細い形をしている。,1. 用于舀取食物的工具，口部宽大，手柄狭窄。,A: スプーンがない、どこにあるか知ってる？B: カトラリーホルダーに入ってるよ。,A: 没有勺子，你知道它在哪里吗？B: 它在餐具盒里。
97,スプーン,1. 食べ物をすくうための道具。口の部分が広く、手元が細い形をしている。,1. 用于舀取食物的工具，口部宽大，手柄狭窄。,A: スープを飲むのにスプーンを使うより、フォークを使うほうが変だよね。B: そうだね、スプーンを使うのが一般的だよ。,A: 喝汤用叉子比用勺子奇怪吧。B: 是的，使用勺子很常见。
98,スポーツ,1. 競技や運動をすること。,1. 进行竞技或运动。,A: 何かスポーツをやっているの？B: はい、サッカーをしています。,A: 你有进行什么运动吗？B: 是的，我在踢足球。
99,スポーツ,2. 競技会や試合。,2. 竞技会或比赛。,A: 明日はスポーツの大会があるよ。B: そうなんだ、何の競技があるの？,A: 明天有体育比赛。B: 是吗？有什么比赛项目？
100,スリッパ,1. 室内で履く軽装の靴,1. 室内穿的轻便鞋子,A: すみません、靴を脱がなければならないんですか？B: はい、こちらのスリッパをご利用ください。,A: 对不起，需要脱鞋吗？B: 是的，请穿这里的拖鞋。
101,ズボン,1. 西式のパンツ、ズボン,1. 西式裤子,A: 明日のパーティーに何を着て行く？B: 白いシャツに黒いズボンでいいかな。,A: 明天的派对你穿什么？B: 白衬衫配黑裤子可以吗。
102,ズボン,2. ボタンなどで閉じる、前開きのパンツ,2. 有扣子等前开口的裤子,A: 今度旅行に行くから、新しいズボンを買おうかな。B: 前開きがあるズボンがおすすめだよ。,A: 我下次要去旅行，考虑买一条新裤子。B: 推荐买有前开口的裤子。
103,セブン,1. Seven-Eleven（コンビニエンスストアのチェーン店名）,1. Seven-Eleven（连锁便利店的品牌名称）,A: お腹空いたけど、近くにセブンある？B: あるよ。ここから歩いて5分くらいだよ。,A: 我肚子饿了，附近有 Seven-Eleven 吗？B: 有的。从这里走路大约五分钟。
104,セブン,2. 略称で「７」の意味,2. 代表数字七的简称,A: 今日は何日？B: ２月７日だよ。A: あ、セブンだね。,A: 今天几号？B: 2月7号。A: 噢，是七号呀。
105,セロテープ,透明な粘着テープで、書類や物品をつなぐことができるもの,透明的胶带，可以将文件或物品粘合在一起,A: この紙とあの紙をセロテープでつないで。B: 了解。,A: 用透明胶带把这张纸和那张纸粘在一起。B: 好的。
106,センチ,1. センチメートルの略,1. 厘米的缩写,A: この箱は何センチの大きさだろう？B: 50センチくらいだと思うよ。,A: 这个箱子大概多少厘米呢？B: 我觉得大约有50厘米左右。
107,センチ,1. センチメートルの略語,1. 厘米的缩写,A: この箱の長さは何センチ？B: 50センチだよ。,A: 这个盒子有多长？B: 50厘米。
108,センチ,2. センチメントの略,2. 情感的缩写,A: 彼女に手紙を書いたよ。B: 何を書いたの？A: ただ、センチなことを書いただけだよ。,A: 我给女友写了封信。B: 写了些什么？A: 只是写了一些感性的话而已。
109,センチ,2. センチメント（感傷）の略語,2. 情感的缩写,A: あの映画は感動的だったよ。B: 本当に？私は全然センチにならなかったけど。,A: 那部电影很感人。B: 真的吗？可我一点也没有被感动到。
110,センチメートル,1. 長さの単位で、1メートルの100分の1の長さ,1. 长度单位，相当于1米的1/100,A: この紙の長さは何センチメートルくらいですか？B: 30センチメートルです。,A: 这张纸有多长？B: 大约30厘米。
111,セーター,1. 毛糸などで編んだ上着。,1. 毛线衣服。,A: 今日は寒いから、セーターを着ようかな。B: いいね、私もセーターを着ようかな。,A: 今天很冷，我要穿毛衣。B: 好啊，我也要穿毛衣。
112,ゼロ,1. 数学的な意味で、数量の0。,1. 数学概念，代表数值0。,A: 2+2は？B: 4だよ。A: じゃあ2-2は？B: ゼロだね。,A: 2+2是？B: 是4。A: 那么2-2呢？B: 是0。
113,ゼロ,2. 物事が一切ないこと。何もないこと。,2. 指没有任何东西或状态，全无。,A: 明日の予定は何も入っていないよ。B: え？ゼロ？,A: 明天没有任何安排。B: 嗯？什么也没有？
114,ソファー,1. 椅子の一種で、通常は背もたれと腕掛けがある。主に家庭で使用される。 ,1. 一种椅子，通常带有靠背和扶手。主要在家庭中使用。,A: 家にソファーがほしいんだけど、何かおすすめのブランドある？B: 私はイケアのソファーが好きだよ。安くてオシャレだし。,A: 我想要一张沙发，有什么推荐的品牌吗？B: 我喜欢宜家的沙发。便宜而且时尚。
115,ソファー,1. 椅子の一種で、通常は背もたれと腕掛けがある。主に家庭で使用される。 ,1. 一种椅子，通常带有靠背和扶手。主要在家庭中使用。,A: 昨日の夜、テレビを見ながらソファーで寝てしまった。B: あまりソファーで寝ると、腰に負担がかかるから気をつけてね。,A: 昨晚边看电视边坐沙发就睡着了。B: 不要经常在沙发上睡觉，对腰部会造成负担，要小心。
116,タクシー,1. 運転手付きの自動車で、人を乗せて移動する交通手段。,1. 有司机的汽车，是载人出行的交通工具。,A: 明日の旅行はタクシーで行こうよ。B: タクシーだと移動が楽でいいね。,A: 明天的旅行我们坐出租车吧。B: 坐出租车移动方便舒适。
117,タクシー,2. タクシー会社が運行する交通手段。,2. 由出租车公司运营的交通工具。,A: 出張先でタクシーに乗りたいんだけど、どこで拾える？B: 近くのタクシー乗り場に行けば大丈夫だよ。,A: 我想在出差地方坐出租车，应该在哪里打车？B: 去附近的出租车站就可以了。
118,タバコ,1. 煙草,1.香烟,A: タバコは吸いますか？B: いいえ、吸いません。,A: 你吸烟吗？B: 不，我不吸。
119,タバコ,2. タバコ屋、煙草店,2.烟草店,A: タバコを買いに行きたいんだけど、近くにタバコ屋はある？B: はい、駅前にありますよ。,A: 我想去买香烟，附近有烟草店吗？B: 有的，就在车站前面。
120,ダンス,1. 音楽に合わせて体を動かすこと。踊り。,1. 随着音乐舞动身体的行为。舞蹈。,A: ダンスが得意なんだって？B: うん、小学校の時から習っているんだ。,A: 你擅长跳舞吗？B: 是的，我从小学就开始学了。
121,ダンス,2. （特にバレエなどの）プロの踊り手,2. （特别是芭蕾舞等的）专业舞者,A: あのダンスはプロのダンサーだよ。B: すごいね、どこかのバレエ団に入っているんじゃない？,A: 那个舞者是专业的舞者。B: 太厉害了，不知道是不是加入了哪个芭蕾舞团。
122,チケット,1. 入場券、チケット,1.门票、票证,A: 明日のコンサートのチケットを買ったよ。B: すごいね、どこで買ったの？,A: 我买了明天音乐会的门票。B: 真厉害，你在哪里买的？
123,チケット,2. 車両乗車券、切符,2.车票、切票,A: 東京から大阪までのチケットを買うにはどうしたらいいですか？B: 新幹線に乗るなら、ネットで予約できますよ。,A: 我该怎么买从东京到大阪的车票呢？B: 如果你要坐新干线，可以在网上预定。
124,チョコ,1. チョコレートの略称,1. 巧克力的缩写,A: 甘いものが食べたいな。B: じゃあ、スーパーでチョコを買ってきてくれる？,A: 想吃甜的。B: 那你去超市买巧克力吧？
125,チョコ,2. 愛情表現で贈るチョコレート,2. 在情人节或白色情人节送给恋人的巧克力,A: 今年のバレンタインデーのプレゼントは何にする？B: 彼女にはチョコを贈ろうと思っている。,A: 今年情人节要送什么礼物呢？B: 我想送女朋友巧克力。
126,チョコレート,1. ココアや砂糖、牛乳、カカオバターなどを混ぜて作られたお菓子や調味料。,1. 由可可粉、糖、牛奶和可可脂等混合制成的糖果或调味料。,A: 彼女はチョコレートが大好きだ。B: 私もだよ。,A: 她非常喜欢巧克力。B: 我也是。
