,word,meaning_jp,meaning_cn,example_jp,example_cn
19,もっと,3. もっと強く、もっと努力して,3. 更强、更努力,A: このスポーツの練習、もっと頑張ればもっと上達できますか？B: はい、もっと努力すれば上達しますよ。,A: 在这项运动的训练中，如果更加努力，能够更上一层楼吗？B: 是的，更努力就能提高。
20,もらう,1. 他人から何かを受け取る,1. 收到他人给的某物,A: 明日、お土産をもらう予定だよ。B: へえ、どこのお土産？,A: 明天要收到土特产。B: 哦，哪里的土特产？
21,もらう,2. 他人に頼んで何かをしてもらう,2. 请他人帮忙做某事,A: 今日は家事で忙しいから、夕飯の買い物をしてもらえる？B: ええ、わかった。何を買ってくる？,A: 今天忙于家务，能帮我买晚饭的食材吗？B: 好的，知道了。要买什么？
22,よろしく,1. 互いに親しく接し、信頼関係を築くための挨拶や依頼、紹介の言葉。または、別れの際に「よろしくお願いします」という決まり文句。,1. 用于打招呼、请求、介绍等情境，以建立互相熟识、建立信任关系的话语。也可以用于告别时说的惯用语“请多关照”或“请多指教”等。,A: この人は私の友達で、新しい仕事を探しているんだ。B: 了解です。私の知り合いに紹介しましょうか？A: ええ、ぜひお願いします。B: 了解しました。,A: 这位是我的朋友，正在找新工作。B: 好的。要我介绍给我的熟人吗？A: 嗯，拜托了。B: 明白了。请多关照。
23,よろしく,1. 互いに親しく接し、信頼関係を築くための挨拶や依頼、紹介の言葉。または、別れの際に「よろしくお願いします」という決まり文句。,1. 用于打招呼、请求、介绍等情境，以建立互相熟识、建立信任关系的话语。也可以用于告别时说的惯用语“请多关照”或“请多指教”等。,A: そろそろ失礼します。B: あ、そうですか。お疲れ様でした。またお会いできるのを楽しみにしています。A: こちらこそ、よろしくお願いします。,A: 我差不多得走了。B: 哦，是吗。辛苦了。期待下次再见面。A: 我也是，请多关照。
24,よろしく,1. 互いに親しく接し、信頼関係を築くための挨拶や依頼、紹介の言葉。または、別れの際に「よろしくお願いします」という決まり文句。,1. 用于打招呼、请求、介绍等情境，以建立互相熟识、建立信任关系的话语。也可以用于告别时说的惯用语“请多关照”或“请多指教”等。,A: はじめまして、山田と申します。B: はじめまして、私は鈴木です。よろしくお願いします。,A: 初次见面，我叫山田。B: 初次见面，我是铃木。请多关照。
25,りんご,1. 林檎,1.苹果,A: お腹すいた。B: りんごでも食べようか。,A: 我饿了。B: 吃苹果吧。
26,りんご,2. 金色,2. 金色,A: あの人の髪の毛、きれいな色だね。B: そうだね、りんご色だよ。,A: 那个人的头发颜色很漂亮啊。B: 是啊，是金色的。
27,ハンバーガー,1. アメリカ発祥の丸いパンに挟んだ肉料理の一種,1. 源于美国，用圆形面包夹肉的一种食物,A: 今日のランチはハンバーガーにする？B: いいね、それとフライドポテトもつけよう。,A: 今天午餐吃汉堡包怎么样？B: 好啊，再来份薯条吧。
28,ハンバーガー,2. ハンバーガーメニュー全般,2. 汉堡餐的总称,A: あの店のハンバーガーはおいしいと聞いたけど、行ったことある？B: いや、まだだけど今度行ってみようかな。,A: 听说那家店的汉堡很好吃，去过吗？B: 没有，但下次去试试看。
29,ハンバーグ,1. パン粉や卵でとじた挽肉を焼いた料理,1. 用面包糠或鸡蛋裹住的碎肉煎制的菜肴,A: 今日のランチは何がいい？B: ハンバーグがおすすめだよ。,A: 今天午餐吃什么好呢？B: 推荐吃汉堡排。
30,ハンバーグ,2. アメリカ発祥の牛肉のパテを用いたバーガー,2. 美国起源，用牛肉肉饼制作的汉堡包,A: 今日の夕食は何がいい？B: ハンバーガーがいいよ。,A: 今天晚餐吃什么好呢？B: 吃汉堡包怎么样？
31,パンダ,1. パンダ科の哺乳動物の総称,1. 熊猫科哺乳动物的总称,A: パンダってめちゃくちゃ可愛いよね。B: 本当に！私も一度見てみたいなあ。,A: 熊猫可真可爱啊。B: 真的呢！我也想看一次。
32,パンダ,2. 優柔不断な人を指すスラング,2. 指优柔寡断的人的俚语,A: 彼は今度の旅行に行くかどうかまだ迷ってるみたい。B: ああ、あのパンダな性格だから仕方ないよね。,A: 他好像还在犹豫这次旅行要不要去。B: 啊，那个优柔寡断的性格就是这样啊。
33,パンツ,1. ズボン、特に男性の下着,1.裤子，尤指男性内衣,A: 今日は寒いから、厚手のパンツを履いてきた。B: そうだね、私も暖かいパンツを履いてきたよ。,A: 今天很冷，我穿了厚厚的裤子。B: 对啊，我也穿了保暖的裤子。
34,パンツ,2. 女性用の下着、パンティー,2.女性内衣，内裤,A: あの子、パンツが見えてるよ。B: えっ、どこ？,A: 那个女孩内裤露出来了。B: 什么，哪里？
35,ビザ,1. 外国人が日本に滞在するために必要な許可証,1. 外国人在日本逗留所需的许可证,A: 日本に留学するのにビザは必要？B: はい、必要です。留学ビザを取得しなければなりません。,A: 在日本留学需要签证吗？B: 是的，需要。必须获得留学签证。
36,ビザ,2. ある国に入国するために必要な許可証,2. 进入某个国家所需的许可证,A: 中国に旅行するためには、ビザは必要？B: はい、必要です。中国ビザを取得しなければなりません。,A: 去中国旅游需要签证吗？B: 是的，需要。必须获得中国签证。
37,ビデオ,1. ビデオカメラで撮影した映像,1. 由录像机拍摄的影像,A: 彼女が作った料理をビデオに収めたよ。B: いいアイデアだね。,A: 我把她做的菜录像了。B: 好主意。
38,ビデオ,2. ビデオテープまたはDVDなどに記録された映像,2. 记录在录像带或DVD等媒体上的影像,A: あの映画、もうビデオで出てるんだって。B: え、早いね。今度観よう。,A: 那部电影已经出了录像带了。B: 哎呀，好快啊。我们下次一起看吧。
39,ビール,1. 麦芽、ホップ、水、イーストを原料にして造られたアルコール飲料,1. 由麦芽、啤酒花、水和酵母等原材料制成的酒精饮料,A: 今日の夕食に何を飲もうかな。B: ビールはどう？暑い日にはぴったりだよ。,A: 今天的晚餐喝点什么好呢？B: 啤酒怎么样？在炎热的天气里非常适合。
40,ピアノ,1. 鍵盤楽器の一種で、様々な音色を出すことができる楽器,1. 一种键盘乐器，可以演奏出各种音色,A: ピアノを弾いているの？B: ええ、趣味です。,A: 你在弹钢琴吗？B: 是的，这是我的爱好。
41,ピアノ,2. 鍵盤楽器を演奏する,2.弹奏键盘乐器,A: あの人はピアノが上手だよね。B: そうだね、コンクールで何回も入賞してるんだって。,A: 那个人弹钢琴很好呢。B: 是啊，他在比赛中多次获奖。
42,ピザ,1. イタリア発祥の薄い生地に、具材をトッピングした料理,1. 意大利起源的薄饼，上面加有各种配料的菜肴,A: 昨日、ピザを食べたんだ。B: どこのピザ屋さんで食べたの？,A: 昨天吃了披萨。B: 你在哪家披萨店吃的？
43,ピンク,1. 桃色、淡紅色の色合い。 ,1. 桃红色，浅红色。,A: このスカート、ピンクが好きです。B: うん、ピンクが似合うよ。,A: 我喜欢这条裙子的粉色。B: 嗯，粉色很适合你。
44,ピンク,1. 桃色、淡紅色の色合い。 ,1. 桃红色，浅红色。,A: この花瓶、ピンクで可愛いね。B: ええ、特に春になるとピンクの花を入れるといいよ。,A: 这个花瓶粉色很可爱呢。B: 是的，特别是春天放粉色的花特别好看。
45,ファックス,1. 電話回線を使って紙に印刷することができる、文書を送信するシステム。,1. 一种可以利用电话线传送文件并印刷在纸张上的系统。,A: この書類、メールで送ってもいい？B: それなら、ファックスで送った方が早いよ。,A: 这份文件可以发邮件吗？B: 如果是这样的话，用传真发送会更快。
46,ファックス,2. ファックス機。,2. 传真机。,A: この書類、今すぐ送らないといけないんだけど、ファックスはどこにある？B: あっちのオフィスにあるよ。,A: 这份文件必须现在就发送，传真机在哪里？B: 在那边的办公室。
47,フォーク,1. フォーク（食器）,1. 叉子（餐具）,A: このフォークは使いにくいね。B: そうかな？私は普通に使えるよ。,A: 这个叉子不好用。B: 是吗？我觉得还好啊。
48,フォーク,2. フォーク（音楽）,2. 民谣（音乐）,A: 最近、彼はフォーク歌手になったんだって。B: へえ、すごいね。,A: 最近他成为了民谣歌手。B: 哇，真厉害。
49,フォーク,3. フォーク（フォークダンス）,3. 排舞（一种舞蹈）,A: 私、フォークが踊れるんだよ。B: へえ、本当に？私も踊ってみたいな。,A: 我会排舞哦。B: 真的吗？我也想试试。
50,フランス料理,1.フランスで発展した料理の総称,1.在法国发展出来的料理总称,A: 今夜は何を食べたい？B: フランス料理が食べたいな。,A: 今晚想吃什么？B: 我想吃法国菜。
51,フランス語,1. フランスの公用語である言語。また、その言語で書かれたもの。,1. 法语，法国的官方语言。用法语书写的东西。,A: フランス語が話せますか？B: いいえ、話せません。,A: 你会说法语吗？B: 不会。
52,フランス語,2. フランス語による言語教育。,2. 以法语为主要语言的语言教育。,A: 彼女はフランス語を勉強しているんだって。B: そうなんだ、すごいね。,A: 她正在学法语。B: 是吗，真厉害。
53,プレゼント,1. 贈り物、贈答品,1. 礼物、赠品,A: 彼女の誕生日に何かプレゼントを買ってあげたいんだけど、何がいいと思う？B: 彼女が好きそうなアクセサリーとか、おしゃれな雑貨とかはどうかな？,A: 女朋友生日想买点礼物送给她，你觉得买什么好呢？B: 买她喜欢的首饰或者时尚杂货怎么样？
54,プレゼント,2. 贈り物として渡す、プレゼントする,2. 赠送礼物、送礼物,A: 今度の日曜日、彼の結婚式があるんだけど、何かプレゼントを用意した方がいいかな？B: 結婚式では、新郎新婦に向けて花束や結婚祝いのプレゼントを贈ることが一般的だよ。,A: 下个星期天是他的婚礼，我需要准备礼物吗？B: 在婚礼上，一般会送花束或者结婚祝福的礼物给新郎新娘。
55,プール,1. 水泳プール,1. 游泳池,A: 暑いね、プールに行きたいな。B: 私も行きたいけど、今日は用事があるから行けないわ。,A: 太热了，想去游泳池。B: 我也想去，但今天有事所以不能去。
56,プール,2. 貯水池,2. 蓄水池,A: この辺りにはプールがある？B: ないよ。ただ、山の方に水の貯水池があるよ。,A: 这附近有游泳池吗？B: 没有。但是，山那边有一个蓄水池。
57,ベッド,1. 寝台、寝具,1. 床,A: 今日はホテルで一晩中寝たよ。B: どんなベッドだった？快適だった？,A: 今天在旅馆里睡了一晚。B: 床怎么样？很舒服吗？
58,ベッド,2. ベッドプレス、横向きのベンチプレス,2. 卧推,A: あの人はかなり鍛えてるみたいだ。B: 本当に？どんな運動をしてるの？A: 主にベッドをやってるんだ。,A: 那个人好像锻炼得很好。B: 真的吗？他做什么运动？A: 主要是做卧推。
59,ベルト,1. 腰に巻く革や布の紐状のもの,1. 系在腰部的皮革或布带,A: そのベルト、かっこいいね。B: ありがとう。最近買ったんだ。,A: 那个腰带很酷。B: 谢谢。我最近买的。
60,ベルト,2. 機械の動力を伝達するために使われる細長いもの,2. 用于传递机械动力的细长物品,A: このベルトを交換しなければならない。B: ああ、すぐに修理しましょう。,A: 必须更换这个传动带。B: 好的，我们马上修理。
61,ペット,1. 家庭で飼う動物,1. 家庭宠物,A: あの人、ペットを飼ってるんだって。B: へえ、何を飼ってるの？,A: 那个人养宠物呢。B: 哦，养的是什么？
62,ペン,1. 筆記用具の一種で、インクを含んだ芯を持つ軸状のもの,1. 一种书写工具，有一支带有油墨笔芯的轴形物,A: 昨日、何を書いてたの？B: ペンでメモを取っていたよ。,A: 昨天你在写什么？B: 用笔记下来了。
63,ペン,2. 機械の部品の一種で、円柱形状のもの,2. 机械零件的一种，呈圆柱形状的物品,A: この機械の故障はどこに原因があるの？B: ペンが壊れているからだよ。,A: 这台机器的故障原因在哪里？B: 是因为零件坏了。
64,ページ,1. 本の1枚、書籍の一面,1. 书本的一页、一面,A: この小説、何ページぐらいまで読んだの？B: 今、50ページぐらいだよ。,A: 你看了这本小说的多少页了？B: 现在大约看了50页左右。
65,ページ,1. 本の1枚、書籍の印刷物の1枚,1. 书的一页、印刷品的一页,A: この小説、何ページくらいあるの？B: 500ページぐらいだよ。,A: 这本小说大概有多少页？B: 大约有500页。
66,ページ,2. インターネット上の文書、ウェブページ,2. 网页、网站的一层面,A: その情報はどこで見つけたの？B: あるサイトのページに載っていたよ。,A: 你在哪里找到那个信息的？B: 在一个网站的页面上看到的。
67,ページ,2. ウェブサイトの1画面,2. 网站的一个页面,A: このページには、詳しい説明が書いてあるよ。B: ありがとう、見てみるね。,A: 这个页面有详细的说明。B: 谢谢，我去看看。
68,ホテル,1. 宿泊施設、ホテル,1.住宿设施，酒店,A: 今日から東京に来たよ。B: そうなんだ、ホテルはどこに泊まるの？A: 京王プラザホテルに泊まるつもりだよ。,A: 我今天来到东京了。B: 是吗？你住哪个酒店？A: 我打算住京王广场酒店。
69,ホテル,2. ホテルという名称を持つ施設,2.具有“酒店”名称的设施,A: この街には何か観光スポットはあるの？B: そうだね、ホテルニューオータニのすぐ近くに美術館があるよ。A: へえ、行ってみようかな。,A: 这个城市有什么观光景点吗？B: 是的，酒店New Otani附近有一座美术馆。A: 哦，那我去看看吧。
70,ボタン,1. 衣服などの留め具として用いる円形や楕円形の小片,1. 衣服等用来扣住的圆形或椭圆形的小片,A: このシャツ、ボタンが取れちゃった。B: 大丈夫、付け直すから。,A: 这件衬衫的纽扣掉了。B: 没关系，我会重新缝上的。
71,ボタン,2. 機械などのスイッチや操作部分,2. 机器等的开关或操作部件,A: エアコンの温度を下げて。B: どこがボタンかわからない。,A: 把空调的温度调低。B: 不知道哪个是开关。
72,ボールペン,1. インクを中に入れた、小型の筆記具,1.装有墨水的小型书写工具,A: 誰かボールペン貸してくれない？B: 私が持ってるよ。,A: 谁能借我一支圆珠笔？B: 我有一支。
73,ポケット,1. 衣服についている小さな袋,1. 衣服上的小袋子,A: このジャケットにはポケットが何個あるの？B: 4つあるよ。,A: 这件夹克有几个口袋？B: 有4个。
74,ポケット,2. 一時的にある物を入れておくための袋,2. 暂时放置物品的袋子,A: キャンプに行くときには、いつもポケットにライターやナイフを入れている。B: そうだね、ポケットに入れておくと取り出しやすいからね。,A: 去露营的时候，我总是把打火机和刀子放在口袋里。B: 是啊，把它们放在口袋里取出来很方便。
75,ポスト,1. 郵便ポスト,1. 邮筒,A: この手紙を出したいんだけど、近くにポストはありますか？B: ええ、駅前にありますよ。,A: 我想寄这封信，附近有邮筒吗？B: 有啊，在车站前面。
76,ポスト,2. ポスト（役職）,2.（职位）职位,A: この会社にはポストがあるんですか？B: はい、部長ポストが空いています。,A: 这家公司有职位吗？B: 是的，经理职位空着。
77,ポテト,1. ジャガイモのこと,1. 土豆,A: 今日の夕飯は何にしようかな？B: ポテトフライとハンバーグはどう？,A: 今天晚饭吃什么呢？B: 薯条和汉堡怎么样？
78,ポテト,2. ポテトチップスのこと,2. 薯片,A: お腹が空いたなあ。B: そうだ、ポテト買ってきて一緒に食べようよ。,A: 我肚子饿了。B: 对啊，买点薯片来一起吃吧。
79,マイク,1. マイクロフォン、音声を拾う装置,1. 麦克风，可以捕捉声音的装置,A: このマイクは高性能だね。B: そうだよ。音がクリアに拾えるよ。,A: 这个麦克风很高性能啊。B: 是啊。可以很清晰地捕捉声音。
80,マイク,2. マイクロフォンの付いたヘッドセット,2. 带麦克风的头戴式耳机,A: オンライン会議の準備はできた？B: はい、ノートパソコンにマイクが付いたヘッドセットを使うよ。,A: 在线会议准备好了吗？B: 是的，我会使用笔记本电脑上带有麦克风的头戴式耳机。
81,ママ,1. 母親、ママ,1. 母亲、妈妈,A: ママ、これどうぞ。B: ありがとう、何のお菓子？,A: 妈妈，请吃这个。B: 谢谢，这是什么点心？
82,ママ,2. 女性の呼び名,2. 女性的称呼,A: ママ、明日の予定は何？B: 明日は買い物に行く予定よ。,A: 妈妈，明天的计划是什么？B: 明天计划去购物。
83,ミルク,1. 牛乳や豆乳などの乳製品,1. 牛奶或豆奶等乳制品,A: 朝ごはんに何を食べるの？B: パンとミルクだよ。,A: 早餐吃什么？B: 吃面包和牛奶。
84,ミルク,2. 牛乳を加工して作ったコーヒーなどの飲み物,2. 用牛奶加工制作的咖啡等饮品,A: 何か飲み物が欲しいな。B: コンビニでミルクティーを買おうか？,A: 想喝点什么。B: 在便利店买牛奶茶怎么样？
85,メートル,"1. 長さの単位の一つで、国際単位系（SI）における基本単位のひとつ。1メートルは、長さの基準として定義された光の速さの1/299,792,458をそのまま長さとして表したもの。","1. 长度单位之一，国际单位制（SI）中的基本单位之一。1米是光速的1/299,792,458作为长度基准的表示方式。",A: この道路は何メートルくらいですか？B: 500メートルほどです。,A: 这条道路有多长？B: 大约500米左右。
86,メートル,2. 一定の長さの単位としての「メートル」。特にスポーツや科学技術などで使用される。,2.作为一定长度单位的“米”，特别在体育运动和科学技术等领域中使用。,A: 彼は走高跳で2メートルを跳んだそうです。B: すごいですね！,A: 他听说跳高跳跃了2米。B: 太厉害了！
87,ヨーロッパ,欧州のこと。,指欧洲。,A: 来年の夏休みはヨーロッパ旅行に行きたいな。B: いいね、私も行ってみたいと思ってたんだ。,A:明年的暑假我想去欧洲旅行。B:太好了，我也一直想去。
88,ライオン,1. 獅子,1. 狮子,A: 昨日、動物園に行ったんだ。B: そうなんだ、何か面白いことがあった？A: ああ、ライオンが大きくてすごかったよ。,A: 昨天去了动物园。B: 真的吗？有什么有趣的事情吗？A: 哦，那只狮子非常大，非常惊人。
89,ライオン,2. 「ライオン」（企業のブランド名）,2. 「Lion」（公司品牌名）,A: あの商品、品質がいいよね。B: そうなんだ、あれはライオンの製品だよ。,A: 那个商品质量很好啊。B: 是啊，那是Lion的产品。
90,ラジオ,1. AM/FM放送を受信する電子機器,1. 用于接收AM/FM广播的电子设备,A: 昨日のニュースを聞き逃した。B: ラジオで聞いた方がいいよ。,A: 昨天错过了新闻。B: 最好听收音机的新闻。
91,ラジオ,2. ラジオ体操,2. 无器械健身操,A: 朝、ラジオ体操をすると体が覚醒する。B: そうだね、私も毎日やってるよ。,A: 早上做广播体操可以让身体醒来。B: 是的，我也每天做。
92,ラーメン,1. 中華麺とスープを合わせた日本の郷土料理,1.将中式面条和汤混合制成的日本本土料理,A: 今日は何食べたい？B: ラーメンが食べたいなあ。A: じゃあ、近くのラーメン屋に行こう。,A: 今天想吃什么？B: 我想吃拉面。A: 那我们去附近的拉面店吧。
93,ラーメン,2. ラーメン屋,2. 拉面店,A: あのラーメン、すごく美味しいんだよ。B: 本当？どこのラーメン屋？,A: 那家拉面很好吃。B: 真的吗？在哪家拉面店？
94,レストラン,1. 飲食店の一種で、食事や酒を提供する店舗,1.一种提供餐点和酒水的餐饮店,A: 今日の夜ご飯、どこで食べる？B: レストランで食べたいな。,A: 今天晚饭去哪吃？B: 我想去餐馆吃。
95,レモン,1. レモンの果物,1. 柠檬,A: 夏はレモンが食べたくなるね。B: そうだね、レモンの爽やかな酸味が暑い日にぴったりだよ。,A: 夏天想吃柠檬。B: 对呀，柠檬清爽的酸味非常适合炎热的天气。
96,レモン,2. 酸っぱい味,2. 酸味,A: このケーキはレモン味だよ。B: 私はレモンの酸味が好きだから、このケーキは大丈夫だよ。,A: 这个蛋糕是柠檬味的。B: 我喜欢柠檬的酸味，所以这个蛋糕我可以吃。
97,ロシア語,1. ロシア人が話す言語。,1. 俄语。,A: ロシア語を習いたいと思っているんだ。B: 本当に？それはすごいね。,A: 我想学俄语。B: 真的吗？那很厉害啊。
98,ワイン,1. 葡萄酒,1. 葡萄酒,A: 今晩のディナーにワインを飲みたいな。B: いいね、何のワインが好き？,A: 晚餐想喝葡萄酒。B: 好啊，你喜欢什么样的葡萄酒？
99,ワイン,2. 赤ワイン,2. 红葡萄酒,A: この赤ワイン、美味しいね。B: そうだね、お気に入りの一本だよ。,A: 这个红葡萄酒很好喝。B: 是啊，是我最喜欢的一瓶。
100,ワイン,3. 白ワイン,3. 白葡萄酒,A: 今晩は何か飲み物が欲しいな。B: 白ワインにしようか？,A: 想喝点什么饮料。B: 要不喝白葡萄酒吧？
101,ワイン,4. スパークリングワイン,4. 起泡酒、气泡酒,A: お祝いにスパークリングワインを開けよう。B: いいね、乾杯！,A: 庆祝一下，开起泡酒吧。B: 好啊，干杯！
102,ワンピース,1. 女性用のワンピースドレス、またはそれに似たデザインの洋服,1. 女士连衣裙或类似设计的服装,A: 今日はパーティーに行くのに、何を着ようかな？B: ワンピースがいいよ。その方がおしゃれだよ。,A: 今天要去参加派对，穿什么好呢？B: 穿连衣裙比较好。那样更时尚。
103,ワンピース,2. 日本の漫画『ONE PIECE』、またはそれに基づいたアニメ作品,2. 日本漫画《ONE PIECE》或基于此的动画作品,A: ONE PIECEって、アニメ化されてるよね？B: そうだよ。それに、原作の漫画も大ヒットしたみたい。,A: 《ONE PIECE》有动画版吧？B: 是的。原著漫画也好像大受欢迎。
104,一,1. 1,1. 一,A: これ、いくら？B: 一千円です。,A: 这个多少钱？B: 一千日元。
105,一,2. 一つ,2. 一个,A: りんごを一つください。B: はい、お待ちどうさまでした。,A: 请给我一个苹果。B: 好的，请稍等。
106,一,3. 一緒に,3. 一起,A: 明日、遊びに行こうよ。B: いいね、一緒に行こう。,A: 明天一起去玩吧。B: 好啊，一起去。
107,一,4. 同じ、一つ,4. 同一个,A: あの人はどの人？B: あの人は一緒にいた人だよ。,A: 那个人是哪个人？B: 那个人是和我们在一起的人。
108,一,5. 一度,5. 一度,A: あの時、どう思ったの？B: 一度、自分が間違っているかもしれないと思ったけど、結局、自信を持って決断したよ。,A: 那个时候你怎么想的？B: 我曾一度认为自己可能是错的，但最终我还是有信心做出了决定。
109,一つ,1. 1つ、単一の,1. 一个，单一的,A: ペンは何本持っていますか？B: 一つだけです。,A: 你有几支笔？B: 只有一支。
110,一つ,2. 一つのものを表す語,2. 表示单个事物的词语,A: あなたのお気に入りの果物は何ですか？B: りんごです。一つ食べると、満足感が得られます。,A: 你最喜欢的水果是什么？B: 苹果。吃一个就能得到满足感。
111,一人,1. ひとり、単独で,1. 独自一人,A: 今日は飲み会、誰が来るの？B: 私たちだけ、一人で行くよ。,A: 今天是聚会，谁会来？B: 只有我们，一个人去。
112,一人,2. 一つだけの,2. 只有一个,A: チケットはあと一枚あるよ。B: そうなの？じゃあ、一人だけ入れるね。,A: 票还有一张。B: 是吗？那就只能进一个人了。
113,万,1. 一万（数字の単位）,1. 一万（数字单位）,A: このお土産、いくらしたの？B: 万円ぐらいだったと思うよ。,A: 这个土特产多少钱？B: 大概万日元左右吧。
114,万,2. 数量が非常に多いこと,2. 数量非常多的事物,A: この本、全部読めるの？B: うーん、字が多くて少し万だね。,A: 这本书全部能看完吗？B: 嗯，字太多了有点多呢。
115,万,3. すべてのもの、全体,3. 所有的东西，整个,A: 今週の仕事、全部終わった？B: うん、万が一のことがなければ大丈夫だよ。,A: 本周的工作全部做完了吗？B: 嗯，万一没有意外的事情应该没问题的。
116,三つ,1. 数字の3を表す,1.表示数字3,A: りんごを三つください。B: はい、3つのりんごですね。,A: 请给我三个苹果。B: 好的，这是3个苹果。
117,三つ,2. 3つのもののうちの1つ,2. 三个中的一个,A: この三つの中で、どれが一番好きですか？B: それは難しいなあ、でも、一番右のやつが好きかな。,A: 这三个里面，你最喜欢哪一个？B: 那很难说啊，但是我喜欢最右边的那个。
118,三日,1. 3日間,1. 三天,A: あのイベントは三日間開催されるよ。B: そうなんだ、全部行こう。,A: 那个活动会持续三天。B: 是吗，我们全都去吧。
119,三日,2. 三日目,2.第三天,A: 明日で三日だから、最後の仕上げを頑張ろう。B: そうだね、みんなで協力して完成させよう。,A: 明天是第三天了，我们要加油完成最后的工作。B: 是呢，大家一起合作完成吧。
120,下手,1. 上手でない、不得意な,1. 不擅长的、不熟练的,A: テニスが下手で困ってるんだ。B: そうだね、一緒に練習しようよ。,A: 我不擅长打网球，很苦恼。B: 是啊，我们一起练习吧。
