,word,meaning_jp,meaning_cn,example_jp,example_cn
21,ある,3. ある一定の程度以上である,3. 某种程度以上,A: 彼女の日本語のレベルは結構高いよ。B: それはすごいね、どのくらいあるんだろう。,A: 她的日语水平相当不错。B: 真的吗？那她的水平有多高呢？
22,あれ,1. 目の前にあるものを指して使う言葉,1. 指称眼前的事物的词语,A: あの人、誰？B: あれ？知らない。,A: 那个人是谁？B: 哪个？不认识。
23,あれ,1. 目の前にあるものを指す代名詞,1. 指代眼前的事物的代词,A: あの本、借りてもいい？B: ええ、あれは自由に使っていいよ。,A: 那本书可以借用吗？B: 嗯，那个可以自由使用。
24,あれ,2. あの人・あの場所・あの状況などを指す表現,2. 指代某人、某地、某情况等的表达,A: 昨日のパーティー、どうだった？B: あれはまあまあだったよ。,A: 昨天的派对怎么样了？B: 那个还可以吧。
25,あれ,2. 特定の場所や方向を指して使う言葉,2. 指明特定位置或方向的词语,A: 駅はどっちだったっけ？B: あれ！あっちだよ。,A: 站台在哪里来着？B: 那边！在那里。
26,あんな,1. あのような、あの程度の,1. 那样的，那个程度的,A: あんなに美味しいラーメンは初めてだ。B: そうだよね、ここは有名なラーメン屋だよ。,A: 我第一次吃到这么好吃的拉面。B: 是啊，这家店很有名。
27,あんな,2. あの人、あの場所、あの物などを指して,2. 指那个人、那个地方、那个物品等,A: 昨日のパーティー、あんなに楽しかったね。B: そうだね、また来年もあるらしいよ。,A: 昨天的派对好玩极了。B: 是啊，明年好像还会有。
28,いいえ,1. 否定の返事をする時に使う,1.用于否定回答的词语,A: 明日の会議は午前中に移動しましょうか？B: いいえ、そのままで大丈夫です。,A: 明天的会议我们改到上午去开怎么样？B: 不用了，原来的时间没问题。
29,いいえ,2. 質問に答えない場合にも使う,2.不回答问题时使用的词语,A: あなたの名前は何ですか？B: いいえ、あなたの名前は？,A: 你叫什么名字？B: 不告诉你，你叫什么名字？
30,いえ,1. 家、住居,1.家、住宅,A: この近くにいい家があるよ。B: そうなの？見に行こう。,A: 这附近有一个好房子。B: 是吗？我们去看看吧。
31,いえ,2. 故郷、故宅,2.故乡、故居,A: 彼女はいつも故郷の話をしてくれるね。B: そうだね、とても懐かしいんだろうな。,A: 她总是谈起故乡的事。B: 是啊，那一定很怀念吧。
32,いす,1. 座椅子、椅子,1. 椅子,A: この部屋にいすがないね。B: そうだね、もう少し座れる場所がほしいね。,A: 这个房间没有椅子呢。B: 是啊，想要更多的坐的地方。
33,いす,2. 集まり、会議,2. 聚集，会议,A: 今日のいすは何の会議だったっけ？B: ああ、プロジェクトチームの進捗状況について話し合ったよ。,A: 今天的“いす”是哪个会议来着？B: 噢，我们讨论了项目组的进展状况。
34,いちご,1. 苺,1.草莓,A: 昨日、スーパーでいちごを買ったんだ。B: おいしいの？,A: 昨天在超市买了草莓。B: 好吃吗？
35,いちご,2. あざ,2.瘀青，淤血,A: 顔にいちごができた。B: どうしたの？顔を打ったの？,A: 脸上有淤青了。B: 怎么了？是被打了吗？
36,いつ,1. 時間を尋ねる副詞,1. 询问时间的副词,A: 明日の会議は何時から？B: いつもの時間、10時からだよ。,A: 明天的会议从几点开始？B: 跟往常一样，10点开始。
37,いつ,2. いずれの時点かわからない、未定の意味を表す副詞,2. 表示不知道具体时间或尚未决定的副词,A: いつ戻ってくるの？B: まだ決めていないんだ。,A: 什么时候回来？B: 还没决定呢。
38,いつまで,1. どの時点まで、どの期間まで,1. 到什么时间，到什么期间,A: いつまでにプロジェクトを完成しなければならないの？B: 来週の月曜日までだよ。,A: 我们必须在什么时间之前完成这个项目？B: 下周一之前。
39,いつまで,2. 何時まで、何期間まで,2.到什么时候，到什么期间为止,A: 今夜のパーティーはいつまで続くの？B: 深夜までだよ。,A: 今晚的派对要持续到什么时候？B: 到深夜。
40,いつも,1. 常に、いつでも,1. 总是，随时,A: いつも忙しそうだね。B: そうなんだ、でも私は平気だよ。,A: 你总是看起来很忙啊。B: 是啊，但我没事的。
41,いつも,2. （比較的）いつもの、いつも通りの,2. （相对来说）平常的、一如既往的,A: 彼女のパフォーマンスはいつもと変わらなかったね。B: そうだね、彼女はいつも通りの演技をしたよ。,A: 她的表现一如既往啊。B: 是啊，她表现得跟往常一样。
42,いらっしゃいませ,1. お越しいただいてありがとうございます,1. 感谢您的光临,A: いらっしゃいませ。B: あ、こんにちは。,A: 欢迎光临。B: 喔，你好。
43,いらっしゃいませ,2. 尊敬の気持ちを表して、ご自分のことを謙遜していう言葉,2. 用于表示敬意并谦虚地称呼自己的用语,A: いらっしゃいませ、店長。B: いいえ、私はただの社員です。,A: 您好，店长。B: 不，我只是一名普通员工。
44,いらっしゃる,1. 存在する、来る、行く、いる,1. 存在、到来、去、在,A: お客様はいらっしゃいませんでしたか？B: いいえ、まだ来られていません。,A: 顾客来了吗？B: 不，还没有来。
45,いらっしゃる,1. 存在する、来る、行く、いる,1. 存在、到来、去、在,A: 先生、もういらっしゃいましたか？B: はい、すでに来ています。,A:老师，您来了吗？B: 是的，已经来了。
46,いらっしゃる,2. 尊敬語として、お越しになる、お出かけになる,2. 尊敬语用法，表示前往、出门、来,A: 父親はもう出かけられましたか？B: はい、もうお出かけになりました。,A: 父亲已经出门了吗？B: 是的，已经出门了。
47,いる,1. 存在する、居る,1. 存在，居住,A: あの人はどこにいるの？B: あそこにいますよ。,A: 那个人在哪里？B: 他在那边。
48,いる,2. 必要である、必要になる,2.必要，需要,A: この仕事には経験がいるんですか？B: はい、必要です。,A: 做这项工作需要经验吗？B: 是的，需要。
49,ううん,1. 否定の答え。いいえの意味,1. 否定的答案。表示不是的意思,A: 今日は暑いね。B: ううん、寒くない？,A: 今天很热吧。B: 不是吧，不冷吗？
50,ううん,2. 否定的な意思を含む言葉を短く言ったもの。,2. 表示否定含义的缩略词。,A: 吉田さんは優しい人だよね。B: ううん、ちょっと怖いかも。,A: 吉田很友好呢。B: 不，也许有点可怕。
51,うさぎ,1.ウサギ科の哺乳動物。,1.兔子,A: 可愛いうさぎを飼ってるんだ。B: ええ、どんな種類？,A: 我养了一只可爱的兔子。B: 嗯，是什么品种？
52,うさぎ,2.早起きをすること。,2.早起,A: 明日の朝は何時に起きる？B: 5時にうさぎするつもりだ。,A: 明天早上几点钟起床？B: 我打算五点早起。
53,うどん,1. 小麦粉をこねて作った太い麺。,1. 用小麦粉和面制成的粗面条。,A: 今日のお昼は何が食べたい？B: うどんがいいな、この前美味しい店を見つけたんだ。,A: 今天午餐想吃什么？B: 我想吃乌冬面，之前发现了一家很好吃的店。
54,うどん,2. うどん県の略称。香川県の通称。,2. 乌冬面县的简称。香川县的别名。,A: この前、うどん県に旅行したんだ。B: そうなんだ、どこに行ったの？,A: 之前去了乌冬面县旅行。B: 是吗？去了哪里？
55,うまい,1. 味や料理がおいしい、技術や腕が優れている,1. 味道或烹饪技术出色,A: このお店のラーメンはうまいね。B: そうだね、何度も通っちゃうくらいだ。,A: 这家店的拉面很好吃。B: 是啊，我都去了好几次了。
56,うまい,2. 上手い、巧みである,2. 巧妙、熟练,A: 彼の話し方はうまいね。B: そうだね、説得力があるから。,A: 他说话很有技巧性。B: 是啊，有说服力。
57,うるさい,1. 騒がしい、うるさくて静かにできない,1. 吵闹，无法保持安静,A: あの子たち、うるさいね。B: そうだね、もっと静かにして欲しい。,A: 那些孩子很吵。B: 是啊，希望他们能安静点。
58,うるさい,2. 迷惑をかける、邪魔をする,2. 扰乱，干扰,A: おばあちゃん、話が長くて、うるさいんだよね。B: そうだね、でも注意して話を聞かないと失礼だよ。,A: 奶奶话很多，很烦人。B: 是啊，但是如果不认真听她说话的话会很失礼。
59,うれしい,1. 嬉しい、喜ばしい,1. 高兴、令人开心的,A: 試験に合格したよ！B: 本当に？うれしいね！,A: 我通过了考试！B: 真的吗？太棒了！
60,うれしい,2. 満足した、ありがたい,2. 满意、感激的,A: お土産、ありがとう！B: どういたしまして、喜んでもらえてうれしいよ。,A: 谢谢你的礼物！B: 不用谢，看你高兴我很满足。
61,うん,1. 賛成、同意する,1. 同意，赞成,A: この計画に賛成？B: うん、賛成だよ。,A: 同意这个计划吗？B: 嗯，我赞成。
62,うん,2. うなずく,2. 点头,A: 明日会議に出席できる？B: うん、出席できるよ。,A: 明天能参加会议吗？B: 嗯，我可以参加。
63,うん,3. う〜んと考える,3. 嗯，想一想,A: どの本を買おうかな？B: うん、う〜んと考えてみようかな。,A: 要买哪本书呢？B: 嗯，想一想再说吧。
64,うんうん,1. 賛同する、同意する,1. 表示同意,A: 明日の会議はどうする？B: うんうん、予定通り開くよ。,A: 明天的会议怎么办？B: 嗯，按计划进行。
65,うんうん,2. 意味を表す言葉,2. 表示含义的话语,A: この表現の意味は何ですか？B: それは～という意味だよ。A: ああ、うんうん。,A: 这个表达的意思是什么？B: 它的意思是～。A: 哦，明白了。
66,え,1. 絵、画,1. 图画、绘画,A: あの美術館はえがすごいらしいよ。B: ほんと？行ってみたいな。,A: 那个美术馆的画很厉害。B: 真的吗？我想去看看。
67,え,2. 駅、駅舎,2. 车站、车站大楼,A: この駅から新宿まで乗り換えがいらないんだって。B: え？本当に？すごく便利だね。,A: 从这个车站到新宿不需要换乘。B: 什么？真的吗？很方便呢。
68,え,3. 会話や文章の最後につける、相手に確認を求める言葉,3. 用于对话或文章结尾，请求对方确认的词语,A: 今晩の予定は６時に待ち合わせだよね。B: え、６時？それってもうすぐじゃない？A: あ、すみません、５時にしたかったんです。,A: 今晚的计划是６点集合对吧？B: 嗯，６点？那不是马上了吗？A: 啊，对不起，我想要５点集合。
69,ええ,1. 良い、いい,1. 好的，不错的,A: この本、どう？B: ええ本だね。,A: 这本书怎么样？B: 是一本不错的书。
70,ええ,2. はい、そうです,2. 是，是的,A: 今日はいい天気ですね。B: ええ、気持ちいいですね。,A: 今天天气很好啊。B: 是啊，感觉很好。
71,ええ,3. 言い換えの形で「はい」と答えることができる言葉,3. 作为“是”的替换回答,A: 明日の予定は大丈夫ですか？B: ええ、問題ありません。,A: 明天的计划没问题吗？B: 是的，没有问题。
72,ええと,1. 迷いながら言葉を探す時や考え事をする時に発する言葉,1. 当迷惘时或思考时发出的词语,A: あの、明日の会議の予定を…ええと…どうだったかな？B: あ、明日は午後1時からだよ。,A: 那个，关于明天的会议安排...那个...怎么样了呢？B: 嗯，明天下午1点开始。
73,えっ,1. 驚きや疑問を表す感動詞,1.表示惊讶或疑问的感叹词,A: 明日からクラスが休みになったよ。B: えっ、マジで！？,A: 明天开始班级放假了。B: 嗯，真的吗！？
74,えっ,2. 突然思い出した時に発する感動詞,2.突然想起时发出的感叹词,A: あの人に会いたいなぁ。B: えっ、あの人のこと？,A: 想见那个人呢。B: 嗯，你说的那个人？
75,おい,1. 呼びかけの言葉、注意喚起の意味を持つ,1. 呼喊、提醒的词语,A: おい、見てみて！B: 何があったの？,A: 喂，看看！B: 发生了什么？
76,おい,2. 親しい人に対する呼びかけの言葉,2.对亲密的人的称呼,A: おい、誕生日おめでとう！B: ありがとう！,A: 喂，生日快乐！B: 谢谢！
77,おい,3. 依頼、勧誘の意味を持つ,3.表示请求、邀请的意思,A: おい、一緒に飲みに行こうよ。B: いいね、行こう！,A: 喂，一起去喝酒吧。B: 好啊，走吧！
78,おいしい,1. 味が良い、美味しい,1. 味道好，美味,A: この料理、おいしいね。B: うん、この店の味はいつもいいよ。,A: 这道菜很好吃。B: 是啊，这家店的味道一直都不错。
79,おいしい,2. 価値がある、魅力的である,2. 值得、有吸引力,A: あの映画、面白い？B: うん、とってもおいしかったよ。,A: 那个电影好看吗？B: 是啊，非常有吸引力。
80,おじいさん,1. 祖父、年配の男性,1. 祖父，年长的男性,A: 今日、おじいさんが来たよ。B: ああ、お爺さんね。,A: 今天爷爷来了。B: 哦，是老爷爷。
81,おじいさん,2. 一般に年配の男性を指して敬意を表す言葉,2. 一般用于尊敬年长男性的词汇,A: あのおじいさんはとても優しいですね。B: はい、皆さんから尊敬されています。,A: 那个老爷爷非常温柔。B: 是的，大家都尊敬他。
82,おじいちゃん,祖父、年配の男性,祖父、老年男性,A: おじいちゃん、どうしてそんなにお金をためているの？B: 孫たちのために貯めているんだよ。,A: 爷爷，你为什么存这么多钱？B: 为了孙子们存的。
83,おじいちゃん,祖父、年配の男性,祖父、老年男性,A: おじいちゃん、今日の天気はどうですか？B: 雨が降るみたいですよ。,A: 爷爷，今天的天气怎么样？B: 看起来像是要下雨了。
84,おととい,1. 一昨日,1. 前天,A: おととい、何してた？B: 家でゆっくりしてたよ。,A: 前天你在干什么？B: 在家里悠闲地休息。
85,おととし,1. 一昨年,1.前年,A: おととしの夏、どこに行ったの？B: 鎌倉に行ったよ。,A: 前年夏天去哪里了？B: 去了镰仓。
86,おなか,1. 腹、胃,1. 肚子、胃,A: おなかがすいた。何か食べよう。B: そうだね、何か軽いものでも食べようか。,A: 我肚子饿了。吃点东西吧。B: 好啊，要不吃点轻食吧。
87,おなか,2. 空腹、空腹感,2. 饥饿、饥饿感,A: おなかがすいた？B: うん、ちょっと腹ペコだな。,A: 肚子饿了吗？B: 嗯，有点饿了。
88,おなか,3. 意欲、やる気,3. 意愿、干劲,A: 今日の仕事は大変だよ。B: 大丈夫、おなかがすいたってやる気があるから。,A: 今天的工作很辛苦啊。B: 没关系，因为我有干劲，就算肚子饿了也能做好。
89,おねがい,1. 頼み、依頼、要望,1. 请求、委托、要求,A: あの、ちょっとお願いがあるんですが。B: 何か用事があるんですか？,A: 对不起，我有一个小请求。B: 有什么事吗？
90,おねがい,1. 頼み、依頼、要望,1. 请求、委托、要求,A: 明日までにレポートを書き上げるのは無理だけど、お願いできますか？B: 分かりました、手伝います。,A: 明天之前完成报告是不可能的，但是可以请求你帮忙吗？B: 好的，我会帮忙的。
91,おねがい,2. 願望、希望、祈り,2. 愿望、希望、祈愿,A: 来年は海外旅行に行きたいです。B: お互いに実現できるように祈りましょう。,A: 我想明年去海外旅行。B: 让我们互相祈愿实现吧。
92,おねがい,2. 願望、希望、祈り,2. 愿望、希望、祈愿,A: 毎日の健康を祈っています。B: ありがとうございます。,A: 愿您每天都健康。B: 谢谢。
93,おはよう,1. 朝の挨拶、朝ご飯を食べる前に相手に伝える挨拶,1.早上的问候，在吃早餐前向对方传达的问候,A: おはよう！今日も元気そうだね。B: おはよう！いい天気だから、気持ちいいよ。,A: 早上好！今天也看起来很有精神呢。B: 早上好！天气真好，感觉很不错呢。
94,おはよう,2. 朝の時間帯、午前中,2.早晨的时间段，上午,A: おはよう、もうこんな時間だよ。B: ああ、つい寝坊してしまった。,A: 早上好，时间已经这么晚了。B: 噢，我睡过头了。
95,おはようございます,朝の挨拶、おはよう、早上好,早上的问候语、早上好,A: おはようございます。B: おはようございます。今日も一日頑張りましょう。,A: 早上好。B: 早上好。今天也要加油。
96,おばあさん,1. 年配の女性、お婆さん,1. 老年妇女、老奶奶,A: あの家のおばあさん、元気そうだね。B: そうだね、毎日散歩しているから。,A: 那家的老奶奶看起来很健康呢。B: 是啊，每天都在散步。
97,おばあさん,2. 尊敬の意を込めて、年配の女性を呼ぶときに使う表現,2. 尊敬的表达方式，用于称呼年长的女性,A: おばあさん、お体に気をつけてくださいね。B: ありがとう、気をつけるわ。,A: 老奶奶，要注意身体哦。B: 谢谢，我会注意的。
98,おばあちゃん,1. 祖母、年配の女性,1. 奶奶、年长的女性,A: おばあちゃん、お腹がすいた？B: うん、少しは空いたわ。,A: 奶奶，肚子饿了吗？B: 嗯，有点饿了。
99,おばあちゃん,2. 尊敬の意を込めて、年配女性に対して使う呼びかけの言葉,2. 尊敬的称呼，用于年长女性,A: おばあちゃん、お元気ですか？B: ええ、まあまあだわ。,A: 奶奶，您身体还好吗？B: 嗯，还可以吧。
100,おる,1. 存在する、居る,1. 存在、在,A: あの人は今どこにおるのかな？B: たぶん、会社にいるんじゃないかな。,A: 那个人现在在哪里呢？B: 大概在公司吧。
101,おる,2. 〜ている、〜てある,2. 正在......，被......做,A: これ、誰が作ったの？B: 私が作ったものだよ。まだ完成しておらんけど。,A: 这个是谁做的呀？B: 是我做的。但还没有做完。
102,おる,3. いる、居る、いらっしゃる（尊敬語）,3. 在，居住（尊敬语）,A: 先生、お飲み物は何になさいますか？B: コーヒーを頂戴したいのですが、おるでしょうか？,A: 先生，您要喝点什么吗？B: 我想要一杯咖啡，您有吗？
103,お休み,1. 休暇、休み,1. 假期、休息时间,A: 今日はお休みですか？B: いいえ、明日からです。,A: 今天是放假吗？B: 不，明天开始。
104,お休み,2. おやすみ、寝ること,2. 休息、睡觉,A: お休みなさい。B: おやすみなさい。,A: 睡个好觉。B: 晚安。
105,お兄さん,1. 兄、年上の男性の呼称,1. 哥哥，年长男性的称呼,A: あの人は誰？B: 私のお兄さんだよ。,A: 那个人是谁？B: 是我的哥哥。
106,お兄さん,2. 男性に対しての丁寧な呼称,2. 对男性的尊称,A: お兄さん、こちらへどうぞ。B: ありがとうございます。,A: 先生，请这边走。B: 谢谢。
107,お姉さん,1. 女性の姉、年上の女性,1. 女性的姐姐，年长的女性,A: お姉さんは何をしているの？B: 今、仕事で忙しいの。,A: 姐姐在做什么？B: 现在工作很忙。
108,お姉さん,2. 他人の年上の女性に対する敬称,2. 对他人的年长女性的敬称,A: お姉さん、お邪魔しています。B: いいえ、どうぞ。,A: 姐姐，打扰了。B: 没关系，请进。
109,お客さん,1. お店やサービスの利用者、客,1. 商店或服务的使用者，客户,A: あのお客さん、もう帰られた？B: うん、ちょっと前に帰りましたよ。,A: 那位客人已经离开了吗？B: 嗯，他刚刚离开了。
110,お客さん,2. 相手方、あて先,2. 对方，对象,A: 明日の打ち合わせのお客さんは誰にする？B: あのプロジェクトの担当者にしようか。,A: 明天的会议对方是谁？B: 我们可以找那个项目负责人。
111,お待たせしました,1. 相手を待たせたことを謝る言葉,1. 为让对方等待而道歉的用语,A: お待たせしました、遅れてしまってすみません。B: いいえ、大丈夫ですよ。,A: 对不起让您等了，我迟到了。B: 没关系，没事。
112,お待たせしました,2. 相手を待たせること,2. 让别人等待,A: 今日の会議、何時に始まるの？B: お待たせしました、今から準備します。,A: 今天的会议什么时候开始？B: 让您久等了，我现在开始准备。
113,お手洗い,1. トイレ,1. 厕所,A: すみません、お手洗いはどこですか？B: あそこにありますよ。,A: 对不起，洗手间在哪里？B: 在那边。
114,お手洗い,2. トイレの場所、案内,2. 厕所位置、指引,A: あの人、お手洗いの場所を知っているかな？B: 知っているみたいですよ。,A: 那个人知道厕所在哪里吗？B: 似乎知道。
115,お握り,1. 梅干しや鮭などの具を中心にした、三角形や円形などの形をした、お米を握った日本の伝統的な食べ物,1. 以梅子干或鲑鱼等食材为中心，制成三角形、圆形等形状，用米饭握成的日本传统食品。,A: 明日のピクニックにお握りを持っていこうよ。B: いいね、何味にする？,A: 明天的野餐我们带些饭团怎么样？B: 好呀，选什么口味？
116,お握り,2. 手を握り合って祈ること,2. 搭手祈愿之事,A: お寺に行って、お握りでもしようか。B: いいね、私も願い事があるんだ。,A: 我们去寺庙一趟，一起搭手祈愿吧。B: 好啊，我也有愿望呢。
117,お父さん,1. 自分の父親。,1. 自己的父亲。,A: お父さん、今日はどうしたんですか？B: ああ、ちょっと疲れただけだよ。,A: 爸爸，你今天怎么了？B: 啊，只是有点累。
118,お父さん,2. 他人の父親に対する敬称。,2. 对他人父亲的尊称。,A: あの人は誰ですか？B: あれ？あの人は私の友達のお父さんです。,A: 那个人是谁？B: 嗯？那个人是我朋友的爸爸。
119,お金,1. 通貨、貨幣,1. 货币,A: このお店は現金しか受け付けないの？B: そうだよ、クレジットカードは使えないよ。A: そうだった、じゃあお金を下ろしてこよう。,A: 这家店只收现金吗？B: 对，不能用信用卡。A: 这样啊，那我去取点钱来。
120,お金,2. 資産、財産、富,2. 资产、财产、财富,A: 彼女はとてもお金持ちなんだって。B: そうなの？知らなかった。,A: 她很有钱呢。B: 是吗？我不知道。
121,お願いします,1. 頼む、依頼する,1. 请求，委托,A: 明日の会議資料を作成してくれる？B: はい、お願いします。,A: 明天可以帮忙准备会议资料吗？B: 好的，请您了。
122,お願いします,2. お礼を言う、感謝する,2. 表示感谢,A: このプレゼント、とても嬉しい！B: どういたしまして、お願いします。,A: 这个礼物真的很高兴！B: 不用谢，不用谢。
123,かぎ,1. 鍵,1. 钥匙,A: 家のかぎは持ってる？B: あ、忘れた。,A: 你带家里的钥匙了吗？B: 噢，忘了。
124,かぎ,2. かぎ形、鈎状の物,2. 钩状的物体,A: このかぎを使って、写真を壁にかけよう。B: いいアイデアだね。,A: 用这个钩子，把照片挂在墙上。B: 好主意。
125,かぎ,3. 鍵の形をしたもの,3. 类似钥匙形状的物体,A: ハートのかぎピアスが欲しいな。B: 可愛いね。,A: 我想要一个心形钥匙耳环。B: 很可爱呢。
126,かばん,1. 鞄、バッグ,1. 手提包、背包,A: あの人、かばんを落としたよ。B: 早く追いかけてあげよう。,A: 那个人掉了手提包。B: 快去追一下。
127,かばん,2. 財布、鞄一式,2. 钱包、包一套,A: かばん忘れたようだよ。B: それで、財布もないのかな？,A: 忘了带包了呢。B: 那么，钱包也没有了吧。
128,が,1. 格助詞、主格を表す,1. 格助词，表示主格,A: 誰がその本を持っていますか？B: 私が持っています。,A: 谁拿着那本书？B: 我拿着。
129,が,2. 接続助詞、前後の文を接続する,2. 连接助词，连接前后句子,A: 日本に旅行に行きたい。B: 私も行きたいが、お金がない。,A: 我想去日本旅行。B: 我也想去，但是没钱。
130,が,3. 副助詞、限定、強調する,3. 副助词，限制、强调,A: どのお土産が欲しいですか？B: その中で一番高いが欲しいです。,A: 想要哪个纪念品？B: 我想要最贵的那个。
131,アイス,1. 氷,1. 冰,A: 暑いね、アイスを買おうか。B: いいね、私はシャーベットが食べたいな。,A: 天气真热啊，要不买冰棍吧。B: 好啊，我想吃雪葩。
132,アイス,2. アイスクリーム,2. 冰淇淋,A: 今日のデザートは何があるの？B: アイスクリームとプリンがあります。,A: 今天有什么甜点？B: 有冰淇淋和布丁。
133,アイスクリーム,1. 冰淇淋,1. 冰激凌,A: あの店のアイスクリームがすごく美味しいんだって。B: ほんとう？今度行ってみようかな。,A: 那家店的冰激凌非常好吃。B: 是吗？我们什么时候去试试看。
134,アイスコーヒー,冷たいコーヒーのこと。,冷咖啡,A: 今日はアイスコーヒーが飲みたいなあ。B: 私もそう思ってたんだよね。,A: 今天想喝冷咖啡呢。B: 我也是这么想的。
135,アイススケート,1. 氷の上をスケート靴で滑るスポーツ。フィギュアスケート、スピードスケートなどがある。,1. 冰上溜冰运动，有花样滑冰和速度滑冰等项目。,A: アイススケートってやったことある？B: あるよ。子供の頃、学校でやったことがあるんだ。,A: 你试过冰上滑冰吗？B: 试过。小时候在学校试过。
136,アイススケート,1. 氷の上をスケート靴で滑るスポーツ。フィギュアスケート、スピードスケートなどがある。,1. 冰上溜冰运动，有花样滑冰和速度滑冰等项目。,A: 明日、アイススケートに行こうよ。B: いいね。でも、スケート靴は持っている？,A: 明天去滑冰吧。B: 好啊。可是你有滑冰鞋吗？
137,アイロン,1. 衣服を平らにするための家庭用電気器具,1. 用于熨平衣服的家用电器,A: 今日は仕事の面接があるから、アイロンでシャツを熨いてくれる？B: ああ、わかった。,A: 今天我有面试，能用熨斗给我熨平衬衫吗？B: 好的，我知道了。
